"Topic Title","Topic Description","Topic Number",Phase,Program,Agency,Branch,"Close Date","Release Date","Open Date","Solicitation Agency URL","Solicitation Status","Solicitation Year",SBIRTopicLink
"Anomalous Behavior Detection and Alerting for Congested Maritime Environments","U.S. Navy platforms defended by the Ship Self-Defense System (SSDS) combat system frequently transit maritime regions of the world that are congested with oceangoing vessels and aircraft traffic, which may include fishing vessels, tankers and cargo container ships, commercial airliners, or hostile entities such as enemy surface combatants or anti-air warfare (AAW) threats. In those congested maritime environments, enemies may attempt to hide within the noise of maritime congestion in an effort to gain initiative and surprise against U.S. Navy forces. There are some information sources at the disposal of Ship’s Force to detect adversaries. For example, both surface vessels (using Automatic Identification System (AIS) or aircraft (using Automatic Dependent Surveillance – Broadcast (ADS-B)) publicly broadcast certain types of information about themselves, including but not limited to Global Positioning System (GPS) location, speed, altitude, destination, and other identifying information as appropriate. However, not all regions have requirements that all traffic must broadcast this information, and actors conducting nefarious or illegal activity have been known to disable AIS and ADS-B systems on their craft. Non-cooperative methods to determine the intent of these craft have been developed in response to the risks posed by uncompliant vessels or aircraft, including PoL analysis. Here, longitudinal records of typical traffic patterns are established over time, then compared against real-time observations to identify anomalous – and therefore potentially nefarious or threatening – activity that is out of family from those records, such as deviation from established vessel traffic separation schemes (TSS), frequently-traveled flight paths or air corridors, or fishing activity in unexpected areas, among others. Anomalous contacts can then be flagged for increased scrutiny by human operators or other actions. However, detailed monitoring and analysis can be difficult for human operators and watchstanders to do for an entire transit duration or extended stay within a congested environment. For example, it requires close attention to detail over long periods of time, which can induce attentional fatigue and missed indicators by operators. Additionally, in the absence of digital historical records and/or when traversing new areas, Ship’s Force may have no historical collective knowledge of maritime traffic patterns against which to compare observations. The safety-critical nature of this task, coupled with the challenge it poses for humans, suggests a unique and important target for automation. Currently no commercial answer to the problem exists.  The Navy seeks the capability to analyze PoL behaviors exhibited by nearby maritime traffic for various regions of the world. Solutions must comprehensively explore all traffic (surface and air) within a 360-degree coverage area around a notional ship, using one or more PoL methods to identify targets that are anomalous and potentially threatening to the ship. Solutions must leverage common sources of maritime traffic data and include at a minimum AIS, ADS-B, and notional air or surface contacts detected by notional radars; other data sources can be specified, but must be realistic for Navy ships to collect, then identify and describe. Tracks or conditions of interest identified by the system must generate alerts for operators via decision support systems or other capabilities that are developed alongside automated analysis and detection logic. Selected alerting content and methods are flexible, but at a minimum must include system track numbers, select descriptive details of the track, provide an explanation of the machine reasoning for the alert that was generated, and compile a machine confidence assessment of the conclusion.  Proposed solutions must (1) function without large volumes of historical traffic patterns and trends stored within the combat system’s computers or databases, (2) include a notional plan for future integration with the SSDS combat system and its operator displays, and (3) be accompanied by an architecture that specifies at a minimum: sources of input data required for analysis; communications and/or data exchange pathways to support analysis needs; specific points of integration between algorithm(s) or method(s) used to perform PoL analysis and selected data sources; and operator alerting and information dissemination capabilities that could integrate with SSDS displays.  Proposals should address data volume concerns associated with storing large PoL databases and describe methods to execute the proposal without requiring significant additional data storage devices and without limiting PoL data to temporary “region-specific” data holdings that must be expunged as ship Operating Areas (OPAREAs) change.  Improved methods of automated PoL analysis that can identify potentially threatening sea or air contacts and communicate findings to watchstanders would significantly improve safety conditions for SSDS vessels transiting these regions.  Three SSDS Top Level Requirements (TLRs) would be supported by this investigation. • The SSDS CS shall generate and display the [Common Tactical Picture] to support command situation awareness and combat coordination. [SSDS_CS_TLR-1222] • The SSDS CS shall provide a means by which operators are notified and are able to participate in the resolution of identification conflicts. [SSDS_CS_TLR-1492] • The SSDS CS shall determine ID and classification with whatever data is available. [SSDS_CS_TLR-1486]  Work should include contacts and composite track data that are produced organically by SSDS combat system sensors, as well as architectural updates that specify the methods or approaches by which PoL analysis will be performed using a fusion of maritime tracks and organic SSDS composite tracks.  Work produced in Phase II may become classified. Note: The prospective contractor(s) must be U.S. owned and operated with no foreign influence as defined by 32 U.S.C. § 2004.20 et seq., National Industrial Security Program Executive Agent and Operating Manual, unless acceptable mitigating procedures can and have been implemented and approved by the Defense Counterintelligence and Security Agency (DCSA) formerly Defense Security Service (DSS). The selected contractor must be able to acquire and maintain a secret level facility and Personnel Security Clearances. This will allow contractor personnel to perform on advanced phases of this project as set forth by DCSA and NAVSEA in order to gain access to classified information pertaining to the national defense of the United States and its allies; this will be an inherent requirement. The selected company will be required to safeguard classified material during the advanced phases of this contract IAW the National Industrial Security Program Operating Manual (NISPOM), which can be found at Title 32, Part 2004.20 of the Code of Federal Regulations.",DON26BZ03-NV063,BOTH,SBIR,DOD,NAVY,"July 22, 2026","June 3, 2026","June 24, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12759
"Adaptive Sensor Management","Navy aircraft carriers and amphibious warfare (L-class) ships are defended by the SSDS, a combat system comprised of weapons, sensors, communications systems, computers, and other elements working together to detect, track, and engage inbound anti-ship missiles and other threats. SSDS platforms sense their environments and identify tracks of interest by integrating inputs from a variety of sensors, which include rotating, fixed face and fire control or target illumination radars that cover a variety of radar bands, as well as electronic support (ES) sensors that process received Radio Frequency (RF) waveforms. Each of these sensors provides its update to the combat system at different rates. For example, while phased array radars can provide rapid target measurements and schedule beams or dwells across a wide field of view, rotating radars may have much narrower fields of view (FOVs) and provide full rotations only once every several seconds. However, because each sensor strives to maximize performance and provide the information necessary for SSDS to build and maintain fire control quality tracks on targets of interest, there are conditions in which further aggregation of sensor data may provide diminishing returns related to fire control track quality (e.g., continuing to provide updates on certain well-characterized tracks may not offer significant track state covariance reductions or additional fire control quality improvements over its current state). It may be advantageous in these cases to shift some of those sensor tasks to other combat system needs, specifically where those additional tasks could substantially improve track quality on other targets or help improve situation awareness via other means. Nothing available commercially can provide this capability.  The Navy seeks an algorithm-based software solution that automatically detects which sensors are contributing to fire control quality tracks on particular targets, assesses the relative magnitudes of their contributions, identifies conditions in which particular sensor resources could be released for other sensor tasking, and specifies which current or potentially novel sensor tasking would benefit most from allocation of those released resources. Proposed solutions should be dynamic, adaptive, responsive to rapid changes in track hostility characterization (i.e., solvable in real-time or better, minimizing algorithmic worst-case time complexity), and work with heterogeneous combinations of sensor tasking and resource utilization feedback parameters. Solutions must identify each sensor’s capability that is controllable by SSDS (e.g., search sectors, search modes, track-based controls, and cueing capabilities, among others) and leverage those realistic features in a solution for SSDS.  Examples of alternative sensor tasking include but are not limited to: executing surface-, volume-, or sector-specific search patterns; modifying or updating search modes; applying track-based controls; cueing other sensors on a specific target; or other actions. Example algorithmic techniques and fields from which approaches could be derived include stochastic and Bayesian optimization, metaheuristics, model predictive control theory, or others. Proposals using artificial intelligence and machine learning approaches will also be considered, but proposers should note that candidate solutions must be capable of generating resource re-allocation recommendations in scenarios that may be completely novel to the combat system and for which little to no prior exposure has been provided. Finally, proposed solutions should correspond to and be compatible with the existing SSDS Program of Record sensors. The initial solution will focus on mathematical and algorithmic development needed to address interactions between four radars that either are or will be installed on most SSDS platforms: SPS-48, SPQ-9B, MK-9 Tracker/Illuminator, and SPY-6(V)3. Solutions should be demonstrable under low to medium-fidelity modeling and simulation approaches, and the algorithmic solutions included in the proposed solution must be explainable.  Five SSDS Top Level Requirements (TLRs) would be supported by this investigation (note that, in the requirements language below, EW signifies Electronic Warfare, and ES signifies Electronic Support): • The SSDS Combat System (CS) shall provide a sensor cueing capability that automatically selects and assigns air tracks to specified own ship sensors for the purpose of achieving requisite track confidence and track data quality to support automatic engagement recommendations at maximum range allowed by engagement doctrine. [SSDS_CS_TLR-289] • The SSDS CS shall perform cued radar search for high-priority ES tracks that meet specified criteria but are not correlated or associated with existing SSDS CS active radar tracks. [SSDS_CS_TLR-291] • The SSDS CS shall detect resource utilization conflicts between sensors and resolve them based on the sensor resource priorities established. [SSDS_CS_TLR-1300] • The SSDS CS shall have automated and manual capabilities to request additional target EW data by ES sensor(s) for a specified track to support updates to EW classification. [SSDS_CS_TLR-1607] • The SSDS CS shall coordinate above water radar activities based on radar capabilities, availability, and tactical and operational conditions. [SSDS_CS_TLR-1631]  Solutions explored during a potential Phase II award must include an expanded set of sensors, the last of which is an ES sensor. The full sensor suite will therefore include SPS-48, SPS-49, SPQ-9B, SPY-6(V)2, SPY-6(V)3, MK-9 Tracker/Illuminator, and SLQ-32(V)6.  Work produced in Phase II may become classified. Note: The prospective contractor(s) must be U.S. owned and operated with no foreign influence as defined by 32 U.S.C. § 2004.20 et seq., National Industrial Security Program Executive Agent and Operating Manual, unless acceptable mitigating procedures can and have been implemented and approved by the Defense Counterintelligence and Security Agency (DCSA) formerly Defense Security Service (DSS). The selected contractor must be able to acquire and maintain a secret level facility and Personnel Security Clearances. This will allow contractor personnel to perform on advanced phases of this project as set forth by DCSA and NAVSEA in order to gain access to classified information pertaining to the national defense of the United States and its allies; this will be an inherent requirement. The selected company will be required to safeguard classified material during the advanced phases of this contract IAW the National Industrial Security Program Operating Manual (NISPOM), which can be found at Title 32, Part 2004.20 of the Code of Federal Regulations.",DON26BZ03-NV065,BOTH,SBIR,DOD,NAVY,"July 22, 2026","June 3, 2026","June 24, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12761
"A4MT - Weapons Trailer Hydraulic Heating"," The MHU-196 Weapons Hydraulic Trailer is a critical Air Force system used to transport, load, and service munitions across bomber and nuclear platforms. Its performance directly supports sortie generation timelines and mission readiness. In cold-weather environments, however, the trailer’s hydraulic systems suffer from degraded performance due to thickened hydraulic fluid, stressed seals, and overburdened pumps. This results in delayed weapons loading, increased downtime, and higher maintenance costs. Interim solutions, such as reservoir heaters and external “boogie skirt” heating, have been fielded but are not effective in sustaining hydraulic performance across the full system. This operational gap creates a risk to munitions handling and sortie generation for AFGSC, and other commands operating in austere or arctic conditions. This challenge presents a clear opportunity to develop an improved thermal management capability for the MHU-196 that ensures reliable operation in extreme environments. The desired outcome is a validated, mission-ready system that maintains hydraulic performance in cold weather, reduces maintenance burden, and extends trailer service life. Such a solution will directly improve sortie generation rates, increase operational resilience, and reduce risks to operators and equipment. Leveraging commercial innovations in heating and insulation technologies, this effort can provide a rapid, low-risk pathway to fielding an effective solution. The project begins at an estimated TRL 4–5, with feasibility already established through earlier analysis, market research, and evaluation of interim heating methods. The goal at the end of Phase II is to achieve TRL 7–8 by developing, integrating, and demonstrating a prototype in relevant operational environments, with a clear roadmap for certification and production. Required efforts will include design and fabrication of a prototype heating system, laboratory and field testing in coldweather conditions, assessment of compliance with nuclear and Air Force standards, and evaluation of logistics, maintainability, and lifecycle cost.  The minimum acceptable deliverables for Phase II are a fully integrated prototype demonstrated on an MHU-196 trailer, a test and evaluation report documenting laboratory and field performance, a certification roadmap aligned with nuclear and Air Force requirements, and a transition plan detailing options for scaling and fleet-wide implementation. Advancing this capability through a Direct to Phase II effort ensures accelerated development and transition, closing a validated operational gap and enhancing readiness for critical munitions operations in contested and extreme environments. ",DAF26BZ03-DV022,BOTH,SBIR,DOD,USAF,"July 22, 2026","June 3, 2026","June 24, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12769
"Platform-Agnostic, Open Architecture, Advanced Automated Search & Track and Target Recognition Enhancement for Airborne, Fixed-Wing Special Operations Applications","The United States Special Operations Command (USSOCOM) and Air Force Special Operations Command (AFSOC) seek artificial intelligence (AI)-enabled technologies aimed at automating and optimizing search and track functions, particularly for electro-optical and infrared (EO/IR) sensors on Special Operations Forces (SOF) unique platforms such as the AC-130J Ghostrider.",DAF26BZ03-DV024,BOTH,SBIR,DOD,USAF,"July 22, 2026","June 3, 2026","June 24, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12771
"xTech|Kinetic Reach Competition","xTech|Kinetic Reach is a focused open-topic competition designed to identify cutting-edge technology solutions that will drive significant advancements in military capabilities while addressing complex challenges and enhancing national security.  In largescale combat operations, U.S. Army forces must sustain dispersed, continuously moving formations while operating inside highly contested environments characterized by persistent observation, long range fires, electromagnetic interference, degraded mobility corridors, and severely constrained logistics. Current sustainment and recovery methods rely heavily on manned systems that are increasingly vulnerable, slow to adapt, and unable to meet the demands of operations conducted near or within the Autonomous Zone. The Army requires a suite of interoperable, autonomous or minimally manned capabilities - spanning ground and air distribution, power generation, forward arming and refueling, and vehicle recovery - that can operate with minimal oversight, low signatures, reduced logistical burden, and seamless command and control (C2) integration. These capabilities must sustain tempo, reduce soldier exposure, and ensure survivability and mission continuity across the entire sustainment and recovery enterprise in high-threat, GPS and communications degraded environments where traditional methods are no longer feasible or survivable.   The Army is seeking to evaluate capabilities that demonstrate performance in one of six (6) capability areas, and meet the following criteria for its capability area:   Topic 1: Uncrewed Ground Payload Transportation   Topic 2: Autonomous container Handling/Movement System  Topic 3: Future Power Generation  Topic 4: Autonomous UAV/UGV Forward Arming and Refueling Point (FARP) System  Topic 5: Uncrewed Aerial Payload Transportation  Topic 6: Uncrewed, Automated, Ground Recovery System  Full competition details including details on these 6 topic areas of interest can be found in Appendix A section of the xTech|Kinetic Reach competition RFI here: https://www.xtech.army.mil/competitions/.  xTech|Kinetic Reach is a focused open-topic competition designed to identify cutting-edge technology solutions that will drive significant advancements in military capabilities while addressing complex challenges and enhancing national security.  In largescale combat operations, U.S. Army forces must sustain dispersed, continuously moving formations while operating inside highly contested environments characterized by persistent observation, long range fires, electromagnetic interference, degraded mobility corridors, and severely constrained logistics. Current sustainment and recovery methods rely heavily on manned systems that are increasingly vulnerable, slow to adapt, and unable to meet the demands of operations conducted near or within the Autonomous Zone. The Army requires a suite of interoperable, autonomous or minimally manned capabilities - spanning ground and air distribution, power generation, forward arming and refueling, and vehicle recovery - that can operate with minimal oversight, low signatures, reduced logistical burden, and seamless command and control (C2) integration. These capabilities must sustain tempo, reduce soldier exposure, and ensure survivability and mission continuity across the entire sustainment and recovery enterprise in high-threat, GPS and communications degraded environments where traditional methods are no longer feasible or survivable.   The Army is seeking to evaluate capabilities that demonstrate performance in one of six (6) capability areas, and meet the following criteria for its capability area:   Topic 1: Uncrewed Ground Payload Transportation   Topic 2: Autonomous container Handling/Movement System  Topic 3: Future Power Generation  Topic 4: Autonomous UAV/UGV Forward Arming and Refueling Point (FARP) System  Topic 5: Uncrewed Aerial Payload Transportation  Topic 6: Uncrewed, Automated, Ground Recovery System  Full competition details including details on these 6 topic areas of interest can be found in Appendix A section of the xTech|Kinetic Reach competition RFI here: https://www.xtech.army.mil/competitions/.  The U.S. Army intends to award up to $1,500,000 in cash prizes throughout the competition. Up to 15 finalists will be selected at the conclusion of the Part 1 evaluation period and will be provided the opportunity to participate in the Part 2 live Soldier exercise, anticipated to occur in November 2026. Finalists who attend the Soldier exercise will receive a cash prize of $25,000, following the event. Finalists who also participate and have their technology integrated in the exercise will receive an additional $25,000, following the event. Following completion of the exercise, up to five (5) final winners will be selected to receive an additional cash prize of $150,000 each. Final winners may be considered for potential follow-on agreements and contracting opportunities.  Part 2 winners that qualify as U.S. Small Businesses will have the opportunity to submit a Direct to Phase II Army SBIR proposal worth up to $2,000,000.  ",ARM26BX03-DP007,BOTH,SBIR,DOD,ARMY,"December 23, 2026","June 3, 2026","December 3, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12783
"NAVAIR & NAVSEA Open Topic for Counter Unmanned Air Systems (C-UAS)","Unmanned Aerial Systems (UAS) present a complex, multi-dimensional challenge that affects everything from individual ship protection to broad strategic operations in the U.S. Navy. The proliferation of cheap, easily accessible, and increasingly sophisticated unmanned systems by both state adversaries and non-state actors has created an urgent and evolving threat landscape. Events in the Middle East, where Navy vessels have been actively engaging drones, have transformed these threats from a theoretical problem into a daily operational reality. The nature of the UAS threat for Naval installations, Naval aircraft, and Naval ships is diverse and rapidly changing, creating a significant challenge for Naval defenses. C-UAS is enabled by secure communication and information technology and includes technologies to Detect, Track, Identify, Assess, and Neutralize single and swarms of UAS from Air, Sea, or Ground leveraging Manned or Unmanned platforms. Primary technology areas of interest are listed below; however, solutions outside these areas will be considered. Please indicate the technology area of interest within the Technical Abstract section of the online proposal Cover Sheet Volume, Volume 1. • AI-Powered Target Recognition for C-UAS: Develop and train machine learning object detection algorithms for the real-time classification and identification of UAS threats from various sensor inputs, including imagery and RF signatures.  • AI/ML-Enhanced Swarm Detection, Tracking, and Anomalies: Develop an AI/ML-enhanced monitoring framework that integrates advanced object detection with behavioral analysis to detect, track, and predict the collective intent of diverse drone swarms in real time. The framework should evaluate potential risks by establishing behavioral baselines and assessing factors such as flight paths, payloads, and proximity to sensitive areas. By identifying real-time anomalies, such as deviations in trajectory or formation, the framework will serve as a primary trigger for risk escalation and the deployment of protective measures, providing a sophisticated solution for managing the complexities of coordinated swarm behavior.  • Non-Kinetic / Low Kinetic Defeat System for Small UAS: Develop a lightweight system with a focus on minimizing size, weight, and power requirements for integration on Naval platforms for the non-kinetic/low kinetic defeat of Group 1 and 2 UAS at tactically relevant ranges.  • AI/ML for Countering Adaptive Programmable Camouflage: Develop an AI/ML framework to specifically detect threats employing programmable camouflage. This framework will overcome the ""target novelty"" problem by continuously adapting to previously unseen camouflage patterns during a mission. The core requirement is for the system to increase its detection accuracy against these evolving threats, providing a decisive countermeasure to adversaries attempting to visually cloak their assets to evade traditional sensors.",DON26BX03-NP002,BOTH,SBIR,DOD,NAVY,"July 22, 2026","June 3, 2026","June 24, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12784
"Optimizing Satellite Imagery across Commercial Vendors","Satellite imagery provides a critical foundation for maritime domain awareness (MDA), allowing the Navy to monitor vast ocean expanses, track vessel movements, and detect unusual activities while also supporting intelligence gathering by providing visual confirmation of suspected activities, revealing adversary capabilities and intentions, and informing strategic decision-making. The Navy primarily relies on its own dedicated reconnaissance assets and a limited number of Government contractors to receive imagery from satellites, which limits the speed of imagery reception and imposes reliance issues on accurate resources. A solution to the limiting factors would be to expand resources to multiple commercial satellite vendors, thus diversifying the sources of information and reducing reliance on single points of failure. The Navy seeks resilience in contested environments where access to a single vendor might be disrupted by weather or other conditions by development of an advanced hub and spoke-style scheduling optimization capability that will forecast opportunities and provide optimizing resolution, speed of collection, and costs across multiple commercial satellite providers. No known commercial capability can meet this need.  The solution application tool must provide a way to combine the following parameters. 1. It must achieve seamless multi-vendor integration that can be used for accessing a single, unified system and dynamically adapt to weather conditions by integrating real-time weather data and predictive models directly into the scheduling process. 2. It must also provide a prioritization capability for time-critical requirements such as tracking a high-value target or responding to a developing crisis. 3. It will optimize cost-efficiency for the scheduling process by selecting the most cost-effective vendor for a given task. 4. It will minimize redundant collections. 5. It will leverage opportunities for data sharing and collaboration among the commercial satellites. 6. It will enhance data fusion and analysis by combining imagery from different sources. 7. It must ensure data security and integrity by incorporating security measures.  The solution will be tested and must meet the following parameters: 1. System Functionality and Performance: includes integration testing, automated tasking and re-tasking, scalability and load testing, and user interface and functionality. 2. Imagery Quality and Usability: includes image resolution and clarity, cloud cover and obstruction analysis, and data fusion and processing. 3. Operational Effectiveness: includes simulated scenarios, field demonstrations, and user feedback/evaluation. 4. Security and Interoperability: includes security testing and interoperability testing. 5. Cost-Effectiveness Analysis: includes cost modeling and analysis.  Work produced in Phase II may become classified. Note: The prospective contractor(s) must be U.S. owned and operated with no foreign influence as defined by 32 U.S.C. § 2004.20 et seq., National Industrial Security Program Executive Agent and Operating Manual, unless acceptable mitigating procedures can and have been implemented and approved by the Defense Counterintelligence and Security Agency (DCSA) formerly Defense Security Service (DSS). The selected contractor must be able to acquire and maintain a secret level facility and Personnel Security Clearances. This will allow contractor personnel to perform on advanced phases of this project as set forth by DCSA and NAVSEA in order to gain access to classified information pertaining to the national defense of the United States and its allies; this will be an inherent requirement. The selected company will be required to safeguard classified material during the advanced phases of this contract IAW the National Industrial Security Program Operating Manual (NISPOM), which can be found at Title 32, Part 2004.20 of the Code of Federal Regulations.",DON26BZ03-NV056,BOTH,SBIR,DOD,NAVY,"July 22, 2026","June 3, 2026","June 24, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12752
"High-Throughput Embarked Data Transfer","U.S. Naval platforms defended by the Ship Self-Defense System (SSDS) combat management system (CMS) routinely traverse hostile regions of the world threatened by modern anti-ship weapons. SSDS CMS data recorded at sea are transmitted from embarked platforms back to various ashore support organizations for system performance analysis. Results are used in a variety of ways, which include but are not limited to improving CMS functionality, updating tactics, techniques, and procedures (TTPs), and ensuring warfighters are trained to defend platforms against modern threats in difficult scenarios. However, providing timely system improvements and guidance depends on timely receipt of large volumes of data for analysis. Existing methods of transmitting these data can be slow and bandwidth constrained, potentially reducing the cadence of this process and delaying the provision of important information.  The Navy seeks a small form factor device (total stowed volume of one cubic foot, including transceiver) and any required software to enable high-throughput data package transmission from embarked Navy platforms. The solution must transmit at least four terabytes of data in 60 seconds (i.e., at a sustained bandwidth of about 67GB/s) over more than 5,000 nautical miles. Currently no Commercial Off-the-Shelf (COTS) solutions are available for use in this manner.  Three SSDS Top Level Requirements (TLRs) are necessary. • (U) The SSDS Combat System (CS) shall enable extraction of selected data for analysis and playback. [SSDS_CS_TLR-1041] • (U) The SSDS CS shall provide extracted and recorded data for external processing. [SSDS_CS_TLR-1039] • (U) The SSDS CS shall provide a method of updating its reference databases on a periodic basis, or on demand. [SSDS_CS_TLR-1207]  While modern techniques in radio, microwave, free space optical (FSO), or other data transmission modalities capable of satisfying these requirements are welcome, proposed solutions must be resilient to highly dynamic and challenging atmospheric or environmental effects on selected modalities and/or waveforms. Additionally, solutions must be capable of deployment on Navy surface combatants in fewer than ten minutes from stowed to transmission ready. Solutions should plan to accept data from COTS data storage devices, including removable disk drives, removable Flash-based storage, and written optical media. Solutions must also be able to integrate with Department of War (DoW) Program of Record (PoR) communications architecture(s). The solution should provide technical details and clearly map those details to desired capability needs. The architecture should also provide high-level details regarding integration with DoW PoR communications architecture(s) or system(s), and should be designed and implemented in accordance with relevant DoW cybersecurity and information assurance (IA) standards.  Work produced in Phase II may become classified. Note: The prospective contractor(s) must be U.S. owned and operated with no foreign influence as defined by 32 U.S.C. § 2004.20 et seq., National Industrial Security Program Executive Agent and Operating Manual, unless acceptable mitigating procedures can and have been implemented and approved by the Defense Counterintelligence and Security Agency (DCSA) formerly Defense Security Service (DSS). The selected contractor must be able to acquire and maintain a secret level facility and Personnel Security Clearances. This will allow contractor personnel to perform on advanced phases of this project as set forth by DCSA and NAVSEA in order to gain access to classified information pertaining to the national defense of the United States and its allies; this will be an inherent requirement. The selected company will be required to safeguard classified material during the advanced phases of this contract IAW the National Industrial Security Program Operating Manual (NISPOM), which can be found at Title 32, Part 2004.20 of the Code of Federal Regulations.",DON26BZ03-NV058,BOTH,SBIR,DOD,NAVY,"July 22, 2026","June 3, 2026","June 24, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12754
"Secure Tasking of Commercial Assets","Maritime Targeting Cell-Afloat/Expeditionary (MTC-A/X)’s purpose is to provide weapons-quality tracks to support over-the-horizon targeting by using multi-intelligence capabilities across all domains and deliver direct sensor data downlink capability. To maintain a tactical advantage, the Navy requires the ability to task commercial satellites at Controlled Unclassified Information (CUI)/Information Level-5 (IL-5) and Secret Level (IL-6) to ensure tasking is not discoverable by adversaries.  The Navy could task commercial satellites for missions requiring secure handling of sensitive information, like targeting; however, commercial satellite providers typically do not offer the security levels required for classified Government operations [CUI impact levels (IL)-5 or Secret IL-6]. They could modify existing military systems for commercial use but that is prohibitively expensive and impractical for commercial vendors. Nothing that is commercially available can fulfill this communications need.  The Navy needs a capability to securely task commercial satellites at the required classification levels. This requires a solution leveraging both Government and commercial technologies, such as implementing end-to-end encryption within existing commercial tasking interfaces, secure data transfer protocols, and blockchain-based solutions for verifying the authenticity and integrity of tasking requests. The performer must evaluate the feasibility of integrating commercial security technologies like secure cloud platforms and Virtual Private Networks (VPNs) and explore emerging technologies such as quantum-resistant cryptography for enhanced long-term security.  The solution must establish a baseline for data security with an initial focus on establishing secure methods for tasking commercial satellites at the required CUI levels. Subsequent efforts will focus on solutions that demonstrate measurable reductions in tasking latency - measuring the speed and efficiency of the tasking process, verifying a targeted 90% reduction in tasking time compared to current methods, for which standard tasking can take up to 14 days from order to delivery. Seamless integration across different cybersecurity requirements will further contribute to more timely tasking, increased tasking opportunities, and a stronger overall cybersecurity posture.  The developed technology will be evaluated in a simulated environment against National Institute of Standards and Technology (NIST) standards for secure communications and data handling at the specified classification levels. This performer will also leverage existing Navy contracts, such as those managed by the Commercial Space Program Office (CSPO), to ensure rapid transition and widespread adoption across the DoW.  Work produced in Phase II may become classified. Note: The prospective contractor(s) must be U.S. owned and operated with no foreign influence as defined by 32 U.S.C. § 2004.20 et seq., National Industrial Security Program Executive Agent and Operating Manual, unless acceptable mitigating procedures can and have been implemented and approved by the Defense Counterintelligence and Security Agency (DCSA) formerly Defense Security Service (DSS). The selected contractor must be able to acquire and maintain a secret level facility and Personnel Security Clearances. This will allow contractor personnel to perform on advanced phases of this project as set forth by DCSA and NAVSEA in order to gain access to classified information pertaining to the national defense of the United States and its allies; this will be an inherent requirement. The selected company will be required to safeguard classified material during the advanced phases of this contract IAW the National Industrial Security Program Operating Manual (NISPOM), which can be found at Title 32, Part 2004.20 of the Code of Federal Regulations.",DON26BZ03-NV062,BOTH,SBIR,DOD,NAVY,"July 22, 2026","June 3, 2026","June 24, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12758
"Compact High-Pressure CO₂ Compressor for Aviation Thermal Management Systems","This topic focuses on developing a compact, high-efficiency CO₂ (R-744) compressor specifically tailored for aircraft thermal management systems (TMS) across a wide range of Air Force platforms, including fighters, transports, tankers, and next-generation autonomous collaborative platforms (ACP). Modern aircraft face growing thermal challenges from advanced mission systems such as radars, electronic warfare, and high-power avionics that demand reliable, lightweight, and efficient cooling solutions. While legacy refrigerants such as R-134a and R-1233zd(E) are commonly used, they require bulky, heavy components that constrain system design. By contrast, CO₂ offers high volumetric cooling capacity, environmental neutrality, and the potential for significant reductions in system size and weight. Military aviation operations introduce unique challenges. CO₂ systems operate at substantially higher pressures and often in transcritical cycles, requiring compressors capable of safely handling high pressure conditions while minimizing vibration, noise, and weight. The compressor must maintain high efficiency across a wide range of operating conditions, including hot-day ground operations and high-altitude low-temperature environments.  This project seeks to develop and demonstrate compressor technologies that deliver a compact, high-efficiency, low-noise, and reliable aviation‑grade CO₂ compressor capable of precise temperature control and reliable operation throughout all mission phases. The proposed work should address the critical challenge of managing high heat loads in military aircraft. This project will leverage the thermodynamic properties of CO₂ to develop a compact, lightweight, and energy‑efficient thermal management CO2 compressor capable of reliable performance during high-demand phases of the mission, such as takeoff, climb and mission system engagement.  The compressor should be designed to handle the highly dynamic thermal loads generated by next‑generation electrified aviation systems, ensuring stable and efficient cooling performance throughout all mission phases.  The heat load can vary throughout a mission from notionally 200 kW during takeoff to 75 kW at cruise conditions, and the compressor must be able to operate efficiently over the entire range of heat loads. The compressor must cool the heat load to 20 °C ± 5 °C, and be capable of rejecting heat to a heat sink at 50 °C with a typical gas-cooler if needed. Proposals should address the development of an aviation-grade CO₂ compressor capable of operating efficiently across the full environmental, temperature, and pressure envelopes encountered in aircraft TMS, including high-altitude low-temperature environments, shock, vibration, EMI, etc., while operating in a transcritical thermodynamic cycle.",DAF26BZ03-NV016,BOTH,SBIR,DOD,USAF,"July 22, 2026","June 3, 2026","June 24, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12763
